PROVIDER;DESCRIPTION;SUBSCRIPTIONID;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_TACTICS;REQUIREMENTS_SUBTECHNIQUES;REQUIREMENTS_PLATFORMS;REQUIREMENTS_TECHNIQUEURL;REQUIREMENTS_ATTRIBUTES_SERVICES;REQUIREMENTS_ATTRIBUTES_CATEGORIES;REQUIREMENTS_ATTRIBUTES_VALUES;REQUIREMENTS_ATTRIBUTES_COMMENTS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;LOCATION
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1190;Exploit Public-Facing Application;Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network. The weakness in the system can be a software bug, a temporary glitch, or a misconfiguration.;Initial Access;;Containers | IaaS | Linux | Network | Windows | macOS;https://attack.mitre.org/techniques/T1190/;Azure SQL Database, Azure Virtual Machine, Azure Automation Update Management, Azure App Service, Azure Container Service, Azure Kubernetes Service, Azure Network Watcher, Azure Policy, Azure Security Center , Azure Sentinel, Azure Web Application Firewall, Azure Web Application Firewall, Azure Microsoft Defender Vulnerability Management., Azure Virtual Machine, Azure SQL Database;Detect, Detect, Protect, Detect, Protect, Protect, Protect, Protect, Protect, Detect, Detect, Protect, Protect, Protect, Protect;Minimal, Partial, Partial, Partial, Minimal, Partial, Significant, Partial, Minimal, Minimal, Significant, Significant, Partial, Partial, Partial;"This control may alert on usage of faulty SQL statements. This generates an alert for a possible SQL injection by an application. Alerts may not be generated on usage of valid SQL statements by attackers for malicious purposes., This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"",""Fileless attack behavior detected"", ""Fileless attack toolkit detected"", ""Suspicious SVCHOST process executed""., This control provides partial coverage for techniques that exploit vulnerabilities in (common) unpatched software since it enables automated updates of software and rapid configuration change management., This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode injected to exploit a vulnerability in a public-facing application. Detection is periodic at an unknown rate., This control may provide provide information about vulnerabilities within container images. The limited scope of containers and registries that are applicable to this control contribute to the lower score., This control may alert on publicly exposed Kubernetes services. This may provide context on services that should be patched or hardened for public access., This control can detect anomalous traffic to and from externally facing systems with respect to network security group (NSG) policy., This control may provide recommendations to restrict access to applications that are public facing and providing information on vulnerable applications., This control's CORS related recommendations can help lead to hardened web applications. This can reduce the likelihood of an application being exploited to reveal sensitive data that can lead to the compromise of an environment.Likewise this control's recommendations related to keeping Java/PHP up to date for API/Function/Web apps can lead to hardening the public facing content that uses these runtimes. This control's recommendations related to disabling Public network access for Azure databases can lead to reducing the exposure of resources to the public Internet and thereby reduce the attack surface.These recommendations are limited to specific technologies (Java, PHP and CORS, SQL DBs) and therefore provide Minimal coverage leading to a Minimal score., The Azure Sentinel Hunting ""Potential IIS code injection attempt"" query can detect some potential injection attacks against public-facing applications. The Azure Sentinel Analytics ""A potentially malicious web request was executed against a web server"" query can detect a high ratio of blocked requests and unobstructed requests to a Web Application Firewall (WAF) for a given client IP and hostname. The coverage for these queries is minimal (e.g. IIS) resulting in an overall Minimal score., This control can detect common web application attack vectors., This control can protect web applications from common attacks (e.g. SQL injection, XSS)., Once this control is deployed, it can detect known vulnerabilities in Windows and various Linux endpoints. This information can be used to patch, isolate, or remove vulnerable software and machines. This control does not directly protect against exploitation and it is not effective against zero day attacks, vulnerabilities with no available patch, and software that may not be analyzed by the scanner. As a result, the score is capped at Partial., This control can be configured to completely block inbound access to selected ports until access is requested. This prevents any attempt at exploitation of a public-facing application unless the attacker has the credentials and permissions to request such access. Even if permission has been granted to an authorized user to access the virtual machine, a list of authorized IP addresses for that access can be configured. The score is minimal, since this control only applies to specific applications requiring credentialed access, as opposed to a public webserver, This control provides recommendations to patch if SQL server is out of date and to disable unneeded features to reduce exploitable surface area.";FAIL;Defender Auto Provisioning Log Analytics Agents from subscription Azure subscription 1 is set to OFF.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/autoProvisioningSettings/default;defender_auto_provisioning_log_analytics_agent_vms_on;False;default;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1190;Exploit Public-Facing Application;Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network. The weakness in the system can be a software bug, a temporary glitch, or a misconfiguration.;Initial Access;;Containers | IaaS | Linux | Network | Windows | macOS;https://attack.mitre.org/techniques/T1190/;Azure SQL Database, Azure Virtual Machine, Azure Automation Update Management, Azure App Service, Azure Container Service, Azure Kubernetes Service, Azure Network Watcher, Azure Policy, Azure Security Center , Azure Sentinel, Azure Web Application Firewall, Azure Web Application Firewall, Azure Microsoft Defender Vulnerability Management., Azure Virtual Machine, Azure SQL Database;Detect, Detect, Protect, Detect, Protect, Protect, Protect, Protect, Protect, Detect, Detect, Protect, Protect, Protect, Protect;Minimal, Partial, Partial, Partial, Minimal, Partial, Significant, Partial, Minimal, Minimal, Significant, Significant, Partial, Partial, Partial;"This control may alert on usage of faulty SQL statements. This generates an alert for a possible SQL injection by an application. Alerts may not be generated on usage of valid SQL statements by attackers for malicious purposes., This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"",""Fileless attack behavior detected"", ""Fileless attack toolkit detected"", ""Suspicious SVCHOST process executed""., This control provides partial coverage for techniques that exploit vulnerabilities in (common) unpatched software since it enables automated updates of software and rapid configuration change management., This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode injected to exploit a vulnerability in a public-facing application. Detection is periodic at an unknown rate., This control may provide provide information about vulnerabilities within container images. The limited scope of containers and registries that are applicable to this control contribute to the lower score., This control may alert on publicly exposed Kubernetes services. This may provide context on services that should be patched or hardened for public access., This control can detect anomalous traffic to and from externally facing systems with respect to network security group (NSG) policy., This control may provide recommendations to restrict access to applications that are public facing and providing information on vulnerable applications., This control's CORS related recommendations can help lead to hardened web applications. This can reduce the likelihood of an application being exploited to reveal sensitive data that can lead to the compromise of an environment.Likewise this control's recommendations related to keeping Java/PHP up to date for API/Function/Web apps can lead to hardening the public facing content that uses these runtimes. This control's recommendations related to disabling Public network access for Azure databases can lead to reducing the exposure of resources to the public Internet and thereby reduce the attack surface.These recommendations are limited to specific technologies (Java, PHP and CORS, SQL DBs) and therefore provide Minimal coverage leading to a Minimal score., The Azure Sentinel Hunting ""Potential IIS code injection attempt"" query can detect some potential injection attacks against public-facing applications. The Azure Sentinel Analytics ""A potentially malicious web request was executed against a web server"" query can detect a high ratio of blocked requests and unobstructed requests to a Web Application Firewall (WAF) for a given client IP and hostname. The coverage for these queries is minimal (e.g. IIS) resulting in an overall Minimal score., This control can detect common web application attack vectors., This control can protect web applications from common attacks (e.g. SQL injection, XSS)., Once this control is deployed, it can detect known vulnerabilities in Windows and various Linux endpoints. This information can be used to patch, isolate, or remove vulnerable software and machines. This control does not directly protect against exploitation and it is not effective against zero day attacks, vulnerabilities with no available patch, and software that may not be analyzed by the scanner. As a result, the score is capped at Partial., This control can be configured to completely block inbound access to selected ports until access is requested. This prevents any attempt at exploitation of a public-facing application unless the attacker has the credentials and permissions to request such access. Even if permission has been granted to an authorized user to access the virtual machine, a list of authorized IP addresses for that access can be configured. The score is minimal, since this control only applies to specific applications requiring credentialed access, as opposed to a public webserver, This control provides recommendations to patch if SQL server is out of date and to disable unneeded features to reduce exploitable surface area.";FAIL;Vulnerability assessment is not set up in all VMs in subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/resourceGroups/TPOT-RESOURCES/providers/Microsoft.Compute/virtualMachines/tpot-vm/providers/Microsoft.Security/assessments/ffff0522-1e88-47fc-8382-2a80ba848f5d;defender_auto_provisioning_vulnerabilty_assessments_machines_on;False;ffff0522-1e88-47fc-8382-2a80ba848f5d;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1190;Exploit Public-Facing Application;Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network. The weakness in the system can be a software bug, a temporary glitch, or a misconfiguration.;Initial Access;;Containers | IaaS | Linux | Network | Windows | macOS;https://attack.mitre.org/techniques/T1190/;Azure SQL Database, Azure Virtual Machine, Azure Automation Update Management, Azure App Service, Azure Container Service, Azure Kubernetes Service, Azure Network Watcher, Azure Policy, Azure Security Center , Azure Sentinel, Azure Web Application Firewall, Azure Web Application Firewall, Azure Microsoft Defender Vulnerability Management., Azure Virtual Machine, Azure SQL Database;Detect, Detect, Protect, Detect, Protect, Protect, Protect, Protect, Protect, Detect, Detect, Protect, Protect, Protect, Protect;Minimal, Partial, Partial, Partial, Minimal, Partial, Significant, Partial, Minimal, Minimal, Significant, Significant, Partial, Partial, Partial;"This control may alert on usage of faulty SQL statements. This generates an alert for a possible SQL injection by an application. Alerts may not be generated on usage of valid SQL statements by attackers for malicious purposes., This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"",""Fileless attack behavior detected"", ""Fileless attack toolkit detected"", ""Suspicious SVCHOST process executed""., This control provides partial coverage for techniques that exploit vulnerabilities in (common) unpatched software since it enables automated updates of software and rapid configuration change management., This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode injected to exploit a vulnerability in a public-facing application. Detection is periodic at an unknown rate., This control may provide provide information about vulnerabilities within container images. The limited scope of containers and registries that are applicable to this control contribute to the lower score., This control may alert on publicly exposed Kubernetes services. This may provide context on services that should be patched or hardened for public access., This control can detect anomalous traffic to and from externally facing systems with respect to network security group (NSG) policy., This control may provide recommendations to restrict access to applications that are public facing and providing information on vulnerable applications., This control's CORS related recommendations can help lead to hardened web applications. This can reduce the likelihood of an application being exploited to reveal sensitive data that can lead to the compromise of an environment.Likewise this control's recommendations related to keeping Java/PHP up to date for API/Function/Web apps can lead to hardening the public facing content that uses these runtimes. This control's recommendations related to disabling Public network access for Azure databases can lead to reducing the exposure of resources to the public Internet and thereby reduce the attack surface.These recommendations are limited to specific technologies (Java, PHP and CORS, SQL DBs) and therefore provide Minimal coverage leading to a Minimal score., The Azure Sentinel Hunting ""Potential IIS code injection attempt"" query can detect some potential injection attacks against public-facing applications. The Azure Sentinel Analytics ""A potentially malicious web request was executed against a web server"" query can detect a high ratio of blocked requests and unobstructed requests to a Web Application Firewall (WAF) for a given client IP and hostname. The coverage for these queries is minimal (e.g. IIS) resulting in an overall Minimal score., This control can detect common web application attack vectors., This control can protect web applications from common attacks (e.g. SQL injection, XSS)., Once this control is deployed, it can detect known vulnerabilities in Windows and various Linux endpoints. This information can be used to patch, isolate, or remove vulnerable software and machines. This control does not directly protect against exploitation and it is not effective against zero day attacks, vulnerabilities with no available patch, and software that may not be analyzed by the scanner. As a result, the score is capped at Partial., This control can be configured to completely block inbound access to selected ports until access is requested. This prevents any attempt at exploitation of a public-facing application unless the attacker has the credentials and permissions to request such access. Even if permission has been granted to an authorized user to access the virtual machine, a list of authorized IP addresses for that access can be configured. The score is minimal, since this control only applies to specific applications requiring credentialed access, as opposed to a public webserver, This control provides recommendations to patch if SQL server is out of date and to disable unneeded features to reduce exploitable surface area.";FAIL;Container image scan is disabled in subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/Containers;defender_container_images_scan_enabled;False;Dender plan for Containers;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1525;Implant Internal Image;Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment. Amazon Web Services (AWS) Amazon Machine Images (AMIs), Google Cloud Platform (GCP) Images, and Azure Images as well as popular container runtimes such as Docker can be implanted or backdoored. Unlike Upload Malware, this technique focuses on adversaries implanting an image in a registry within a victim’s environment. Depending on how the infrastructure is provisioned, this could provide persistent access if the infrastructure provisioning tool is instructed to always use the latest image.;Persistence;;IaaS | Containers;https://attack.mitre.org/techniques/T1525/;Azure Defender for Containers, Azure Defender for Containers, Azure Defender for Kubernetes, Azure Policy, Azure Security Center, Azure Security Center Docker Host Hardening, Azure Monitor;Detect, Protect, Detect, Detect, Protect, Detect, Detect;Partial, Partial, Partial, Minimal, Partial, Minimal, Partial;"This control may scan and alert on import or creation of container images with known vulnerabilities or a possible expanded surface area for exploitation., This control may prevent adversaries from implanting malicious container images through fine grained permissions and use of container image tag signing. Image tag signing allows for verifiable container images that have been signed with legitimate keys., This control may alert on containers with sensitive volume mounts, unneeded privileges, or running an image with digital currency mining software., This control may provide recommendations to enable scanning and auditing of container images. This can provide information on images that have been added with high privileges or vulnerabilities., This control's ""Container images should be deployed from trusted registries only"", ""Container registries should not allow unrestricted network access"" and ""Container registries should use private link"" recommendations can lead to ensuring that container images are only loaded from trusted registries thereby mitigating this technique., This control may alert on Docker containers that are misconfigured or do not conform to CIS Docker Benchmarks. This may result in detection of container images implanted within Linux VMs with specific vulnerabilities or misconfigurations for malicious purposes., This control may alert on suspicious container images running mining software or SSH servers. Privileged Docker containers and privileged commands running within containers may also be detected. These alerts are only generated on containers in Linux endpoint machines and not for containers running from Azure Docker deployment.";FAIL;Container image scan is disabled in subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/Containers;defender_container_images_scan_enabled;False;Dender plan for Containers;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1190;Exploit Public-Facing Application;Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network. The weakness in the system can be a software bug, a temporary glitch, or a misconfiguration.;Initial Access;;Containers | IaaS | Linux | Network | Windows | macOS;https://attack.mitre.org/techniques/T1190/;Azure SQL Database, Azure Virtual Machine, Azure Automation Update Management, Azure App Service, Azure Container Service, Azure Kubernetes Service, Azure Network Watcher, Azure Policy, Azure Security Center , Azure Sentinel, Azure Web Application Firewall, Azure Web Application Firewall, Azure Microsoft Defender Vulnerability Management., Azure Virtual Machine, Azure SQL Database;Detect, Detect, Protect, Detect, Protect, Protect, Protect, Protect, Protect, Detect, Detect, Protect, Protect, Protect, Protect;Minimal, Partial, Partial, Partial, Minimal, Partial, Significant, Partial, Minimal, Minimal, Significant, Significant, Partial, Partial, Partial;"This control may alert on usage of faulty SQL statements. This generates an alert for a possible SQL injection by an application. Alerts may not be generated on usage of valid SQL statements by attackers for malicious purposes., This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"",""Fileless attack behavior detected"", ""Fileless attack toolkit detected"", ""Suspicious SVCHOST process executed""., This control provides partial coverage for techniques that exploit vulnerabilities in (common) unpatched software since it enables automated updates of software and rapid configuration change management., This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode injected to exploit a vulnerability in a public-facing application. Detection is periodic at an unknown rate., This control may provide provide information about vulnerabilities within container images. The limited scope of containers and registries that are applicable to this control contribute to the lower score., This control may alert on publicly exposed Kubernetes services. This may provide context on services that should be patched or hardened for public access., This control can detect anomalous traffic to and from externally facing systems with respect to network security group (NSG) policy., This control may provide recommendations to restrict access to applications that are public facing and providing information on vulnerable applications., This control's CORS related recommendations can help lead to hardened web applications. This can reduce the likelihood of an application being exploited to reveal sensitive data that can lead to the compromise of an environment.Likewise this control's recommendations related to keeping Java/PHP up to date for API/Function/Web apps can lead to hardening the public facing content that uses these runtimes. This control's recommendations related to disabling Public network access for Azure databases can lead to reducing the exposure of resources to the public Internet and thereby reduce the attack surface.These recommendations are limited to specific technologies (Java, PHP and CORS, SQL DBs) and therefore provide Minimal coverage leading to a Minimal score., The Azure Sentinel Hunting ""Potential IIS code injection attempt"" query can detect some potential injection attacks against public-facing applications. The Azure Sentinel Analytics ""A potentially malicious web request was executed against a web server"" query can detect a high ratio of blocked requests and unobstructed requests to a Web Application Firewall (WAF) for a given client IP and hostname. The coverage for these queries is minimal (e.g. IIS) resulting in an overall Minimal score., This control can detect common web application attack vectors., This control can protect web applications from common attacks (e.g. SQL injection, XSS)., Once this control is deployed, it can detect known vulnerabilities in Windows and various Linux endpoints. This information can be used to patch, isolate, or remove vulnerable software and machines. This control does not directly protect against exploitation and it is not effective against zero day attacks, vulnerabilities with no available patch, and software that may not be analyzed by the scanner. As a result, the score is capped at Partial., This control can be configured to completely block inbound access to selected ports until access is requested. This prevents any attempt at exploitation of a public-facing application unless the attacker has the credentials and permissions to request such access. Even if permission has been granted to an authorized user to access the virtual machine, a list of authorized IP addresses for that access can be configured. The score is minimal, since this control only applies to specific applications requiring credentialed access, as opposed to a public webserver, This control provides recommendations to patch if SQL server is out of date and to disable unneeded features to reduce exploitable surface area.";FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/AppServices;defender_ensure_defender_for_app_services_is_on;False;Defender plan App Services;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1059;Command and Scripting Interpreter;Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of Unix Shell while Windows installations include the Windows Command Shell and PowerShell.;Execution;T1059.009 - Cloud API;Azure AD | IaaS | Google Workspace | Linux | Network | Office 365 | Windows | macOS;https://attack.mitre.org/techniques/T1059/;Azure Virtual Machine, Azure Defender, Azure Sentinel, Microsoft Defender for Identity;Detect, Detect, Detect, Detect;Minimal, Minimal, Minimal, Minimal;"TThis control's detection is specific to a minority of this technique's sub-techniques resulting in a Minimal Coverage score and consequently an overall score of Minimal., This control provides minimal detection for this technique's procedure examples and only two of its sub-techniques (only certain specific sub-technique behaviors), resulting in a Minimal score., This control provides minimal coverage for most of this technique's sub-techniques, along with additional mappings for its procedure examples, resulting in an overall score of Minimal.The following Azure Sentinel Hunting queries can identify potentially malicious use of command and scripting interpreters that does not map directly to one/more sub-techniques: ""Anomalous Code Execution"" can identifyanomalous runCommand operations on virtual machines, ""Azure CloudShell Usage"" can identify potentially malicious use of CloudShell, ""New processes observed in last 24 hours"", ""Rare processes run by Service accounts"", and ""Rare Custom Script Extension"" can identify execution outliers that may suggest misuse.The following Azure Sentinel Analytics queries can identify potentially malicious use of command and scripting interpreters that does not map directly to one/more sub-techniques: ""New CloudShell User"" can identify potentially malicious use of CloudShell, ""Rare and Potentially high-risk Office operations"" can identify specific rare mailbox-related ccount and permission changes via execution., This control provides Minimal detection for one of this technique's sub-techniques, while not providing any detection for the remaining, resulting in a Minimal score.";FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/AppServices;defender_ensure_defender_for_app_services_is_on;False;Defender plan App Services;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1204;User Execution;An adversary may rely upon specific actions by a user in order to gain execution. Users may be subjected to social engineering to get them to execute malicious code by, for example, opening a malicious document file or link. These user actions will typically be observed as follow-on behavior from forms of Phishing.;Execution;T1204.003 - Malicious Image;IaaS | Containers | Linux | Windows | macOS;https://attack.mitre.org/techniques/T1204/;Azure Security Center, Azure Virtual Machines, Azure Defender, Microsoft Antimalware for Azure;Detect, Detect, Detect, Protect;Partial, Partial, Partial, Minimal;This control only provides detection for one of this technique's sub-techniques while not providing any detection capability for its other sub-technique, and therefore its coverage score is Partial, resulting in a Partial score., This control provides detection for one of the two sub-techniques of this technique, Malicious File, resulting in a Partial Coverage score and consequently an overall score of Partial.., This control only provides meaningful detection for one of the technique's two sub-techniques, and the temporal factor is unknown, resulting in a score of Minimal., ;FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/AppServices;defender_ensure_defender_for_app_services_is_on;False;Defender plan App Services;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1552;Unsecured Credentials;Adversaries may search compromised systems to find and obtain insecurely stored credentials. These credentials can be stored and/or misplaced in many locations on a system, including plaintext files (e.g. Bash History), operating system or application-specific repositories (e.g. Credentials in Registry), or other specialized files/artifacts (e.g. Private Keys).;Credential Access;T1552.001 - Credentials In Files | T1552.005 - Cloud Instance Metadata API;Azure AD | Containers | Google Workspace | IaaS | Linux | Network | Office 365 | SaaS | Windows | macOS;https://attack.mitre.org/techniques/T1552/;Azure AD Identity Secure Score, Azure Dedicated HSM, Azure Defender for App Service, Azure Key Vault, Azure Sentinel, Azure Sentinel, Managed identities for Azure resources;Protect, Protect, Detect, Protect, Detect, Protect, Protect;Minimal, Minimal, Minimal, Partial, Minimal, Minimal, Minimal;"This control's ""Resolve unsecure account attributes"" provides recommendations that can lead to strengthening how accounts are stored in Active Directory. This control provides recommendations specific to a few types of unsecured credentials (reversible and weakly encrypted credentials) while not providing recommendations for any other, resulting in a Minimal score., This control's protection is specific to a minority of this technique's sub-techniques and procedure examples resulting in a Minimal Coverage score and consequently an overall score of Minimal., This control does not address this technique's procedure example and provides minimal detection for some of its sub-techniques resulting in an overall Minimal score., This control provides a central, secure location for storage of credentials to reduce the possibility of attackers discovering unsecured credentials., This control provides minimal to partial coverage for a minority of this technique's sub-techniques, resulting in an overall detection score of Minimal., This control provides a highly specific detection for a misconfiguration that can lead to one of this technique's sub-techniques, ultimately preventing it., This control provides protection for one of this technique's sub-techniques, while not providing any protection for its procedure examples nor its remaining sub-techniques, resulting in an overall Minimal score.";FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/AppServices;defender_ensure_defender_for_app_services_is_on;False;Defender plan App Services;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1486;Data Encrypted for Impact;Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key. This may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key (ransomware) or to render data permanently inaccessible in cases where the key is not saved or transmitted.;Impact;;IaaS | Linux | Windows | macOS;https://attack.mitre.org/techniques/T1486/;Azure Backup, Azure Security Center Recommendations, Azure Sentinel, Cloud App Security Policies;Respond, Protect, Detect, Detect;Significant, Partial, Minimal, Partial;"Data backups provide a significant response to data encryption/ransomware by enabling the restoration of data from backup., This control's ""Immutable (read-only) root filesystem should be enforced for containers"" recommendation can lead to mitigating this technique by preventing modification of the local filesystem. Due to it being a recommendation, its score is capped at Partial., The Azure Sentinel Analytics ""Sensitive Azure Key Vault Operations"" query can identify potential attacker activity intended to delete private key(s) required to decrypt content., This control can detect a range of ransomware-related activities including encryption. Relevant alert include ""Ransomware activities"" and ""Unusual file deletion activity (by user)"".";FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/AppServices;defender_ensure_defender_for_app_services_is_on;False;Defender plan App Services;global
azure;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;137ea479-0994-4597-b7f8-c87bc2c32218;2025-02-19 10:48:28.546737;T1499;Endpoint Denial of Service;Adversaries may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users. Endpoint DoS can be performed by exhausting the system resources those services are hosted on or exploiting the system to cause a persistent crash condition. Example services include websites, email services, DNS, and web-based applications. Adversaries have been observed conducting DoS attacks for political purposes[1] and to support other malicious activities, including distraction[2], hacktivism, and extortion.;Impact;T1499.002 - Service Exhaustion Flood | T1499.003 - Application Exhaustion Flood | T1499.004 - Application or System Exploitation;Azure AD | Containers | Google Workspace | IaaS | Linux | Office 365 | SaaS | Windows | macOS;https://attack.mitre.org/techniques/T1499/;Azure Automation Update Management, Azure DDOS Protection Standard, Azure Network Traffic Analytics, Azure Private Link, Azure Security Center Recommendations, Network Security Groups;Protect, Protect, Detect, Protect, Protect, Protect;Partial, Significant, Partial, Partial, Minimal, Partial;This control provides protection against the subset of Denial of Service (DOS) attacks that leverage system/application vulnerabilities as opposed to volumetric attacks since it enables automated updates of software and rapid configuration change management., Protects against volumetric and protocol DOS, though not application., This control can identify volumetric and multi-sourced denial-of-service attacks., Prevents Denial of Service (DOS) against systems that would otherwise need to connect via an internet-traversing path (coverage partial, since doesn't apply to systems that must be directly exposed to the Internet), This control provides recommendations for limiting the CPU and memory resources consumed by a container to minimize resource exhaustion attacks. Because this control only covers one sub-technique of this technique, its score is assessed as Minimal., This control provides partial protection for a majority of this control's sub-techinques and procedure examples resulting in overall score of Partial.;FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/AppServices;defender_ensure_defender_for_app_services_is_on;False;Defender plan App Services;global
